Token,Lemma,Xpos1,Xpos2,Xpos3,Xpos4,Xpos5,Xpos6,Xpos7,ID
",",",",Z,-,-,-,-,-,-,7
mnohí,môj,P,A,m,p,1,-,-,8
v,v,E,u,6,-,-,-,-,9
dovolenkových,dovolenkový,A,A,f,p,6,x,-,10
destináciách,destinácia,S,S,f,p,6,-,-,11
nielen,nielen,T,-,-,-,-,-,-,12
na,na,E,u,6,-,-,-,-,13
Slovensku,slovensko,S,S,n,s,6,:,r,14
",",",",Z,-,-,-,-,-,-,15
ale,ale,O,-,-,-,-,-,-,16
aj,aj,T,-,-,-,-,-,-,17
v,v,E,u,6,-,-,-,-,18
iných,iný,P,A,f,p,6,-,-,19
európskych,európsky,A,A,f,p,6,x,-,20
krajinách,krajina,S,S,f,p,6,-,-,21
.,.,Z,-,-,-,-,-,-,22
V,v,E,u,6,-,-,-,-,1
septembri,september,S,S,i,s,6,-,-,2
vás,vy,P,P,h,p,4,-,-,3
privíta,privítať,V,K,d,s,c,+,-,4
stredná,stredný,A,A,f,s,1,x,-,5
škola,škola,S,S,f,s,1,-,-,6
s,s,E,u,7,-,-,-,-,7
novými,nový,A,A,m,p,7,x,-,8
priateľmi,priateľ,S,S,m,p,7,-,-,9
i,i,O,-,-,-,-,-,-,10
učiteľmi,učiteľ,S,S,m,p,7,-,-,11
.,.,Z,-,-,-,-,-,-,12
Mnohí,mnoho,A,A,m,p,1,-,-,1
máte,mať,V,K,e,p,b,+,-,2
ambície,ambícia,S,S,f,p,4,-,-,3
úspešne,úspešne,D,x,-,-,-,-,-,4
zmaturovať,zmaturovať,V,I,e,+,-,-,-,5
a,a,O,-,-,-,-,-,-,6
potom,potom,D,x,-,-,-,-,-,7
sa,sa,R,-,-,-,-,-,-,8
prihlásiť,prihlásiť,V,I,d,+,-,-,-,9
na,na,E,u,4,-,-,-,-,10
vysokoškolské,vysokoškolský,A,A,n,s,4,x,-,11
štúdium,štúdium,S,S,n,s,4,-,-,12
.,.,Z,-,-,-,-,-,-,13
Tak,tak,P,D,-,-,-,-,-,1
veľa,veľa,N,U,n,s,4,-,-,2
zdaru,zdarať,V,K,d,s,c,+,-,3
a,a,O,-,-,-,-,-,-,4
životných,životný,A,A,i,p,2,x,-,5
úspechov,úspech,S,S,i,p,2,-,-,6
",",",",Z,-,-,-,-,-,-,7
milí,milý,A,A,m,p,1,x,-,8
deviataci,deviataci,S,S,m,p,1,-,-,9
!,!,Z,-,-,-,-,-,-,10
Na,na,E,u,6,-,-,-,-,1
školských,školský,A,A,i,p,6,x,-,2
výletoch,výlet,S,S,i,p,6,-,-,3
spoznávame,spoznávať,V,K,e,p,a,+,-,4
krásy,krása,S,S,f,p,4,-,-,5
Slovenska,slovensko,S,S,n,s,2,:,r,6
",",",",Z,-,-,-,-,-,-,7
kultúrne,kultúrny,A,A,f,p,4,x,-,8
a,a,O,-,-,-,-,-,-,9
historické,historický,A,A,f,p,4,x,-,10
pamiatky,pamiatka,S,S,f,p,4,-,-,11
.,.,Z,-,-,-,-,-,-,12
Siedmy,siedmy,N,A,i,s,1,-,-,1
jún,jún,S,S,i,s,1,-,-,2
bol,byť,V,L,e,s,c,i,+,3
naším,náš,P,F,i,s,7,-,-,4
výletným,výletný,A,A,i,s,7,x,-,5
dňom,deň,S,S,i,s,7,-,-,6
.,.,Z,-,-,-,-,-,-,7
Triedni,triedny,A,A,m,p,1,x,-,1
učitelia,učiteľ,S,S,m,p,1,-,-,2
odcestovali,odcestovať,V,L,e,p,c,m,+,3
s,s,E,u,7,-,-,-,-,4
dvadsiatimi,dvadsia,N,N,m,p,7,-,-,5
štyrmi,štyri,N,N,m,p,7,-,-,6
siedmakmi,siedmak,S,S,m,p,7,-,-,7
na,na,E,u,4,-,-,-,-,8
sever,sever,S,S,i,s,4,-,-,9
Slovenska,slovensko,S,S,n,s,2,:,r,10
.,.,Z,-,-,-,-,-,-,11
Dominantou,dominant,S,S,f,s,7,-,-,1
Oravy,orava,S,S,f,s,2,:,r,2
je,byť,V,K,e,s,c,+,-,3
Oravský,oravský,A,A,i,s,1,x,-,4
hrad,hrad,S,S,i,s,1,-,-,5
a,a,O,-,-,-,-,-,-,6
Oravská,oravský,A,A,f,s,1,x,:,7
priehrada,priehrad,S,S,f,s,1,-,-,8
.,.,Z,-,-,-,-,-,-,9
Niektorí,niektorý,P,A,m,p,1,-,-,1
žiaci,žiak,S,S,m,p,1,-,-,2
navštívili,navštíviť,V,L,d,p,c,m,+,3
túto,táto,P,F,f,s,4,-,-,4
lokalitu,lokalita,S,S,f,s,4,-,-,5
druhýkrát,druhýkrát,N,D,-,-,-,-,-,6
.,.,Z,-,-,-,-,-,-,7
Dozvedeli,dozvedieť,V,L,d,p,a,h,+,1
sme,byť,V,K,e,p,a,+,-,2
sa,sa,R,-,-,-,-,-,-,3
o,o,E,u,6,-,-,-,-,4
piatich,päť,N,N,f,p,6,-,-,5
zatopených,zatopený,G,t,f,p,6,x,-,6
dedinách,dedina,S,S,f,p,6,-,-,7
",",",",Z,-,-,-,-,-,-,8
ktoré,ktorý,P,A,f,p,1,-,-,9
zmizli,zmiznúť,V,L,d,p,c,f,+,10
pod,pod,E,u,7,-,-,-,-,11
vodou,voda,S,S,f,s,7,-,-,12
v,v,E,u,6,-,-,-,-,13
päťdesiatych,päťdesiata,N,U,i,p,6,-,-,14
rokoch,rok,S,S,i,p,6,-,-,15
minulého,minulý,A,A,n,s,2,x,-,16
storočia,storočie,S,S,n,s,2,-,-,17
.,.,Z,-,-,-,-,-,-,18
Priehrada,priehrada,S,S,f,s,1,-,-,1
nás,my,P,P,h,p,4,-,-,2
fascinovala,fascinovať,V,L,e,s,c,f,+,3
tridsiatimi,tridsia,N,U,f,p,7,-,-,4
ôsmimi,osem,N,N,f,p,7,-,-,5
metrami,meter,S,S,f,p,7,-,-,6
hĺbky,hĺbka,S,S,f,s,2,-,-,7
pri,pri,E,u,6,-,-,-,-,8
priehradnom,priehradný,A,A,i,s,6,x,-,9
múre,múr,S,S,i,s,6,-,-,10
.,.,Z,-,-,-,-,-,-,11
Oravským,oravský,A,A,i,s,7,x,-,1
hradom,hrad,S,S,i,s,7,-,-,2
nás,my,P,P,h,p,4,-,-,3
previedla,previesť,V,L,d,s,c,f,+,4
sympatická,sympatický,A,A,f,s,1,x,-,5
sprievodkyňa,sprievodkyňa,S,S,f,s,1,-,-,6
.,.,Z,-,-,-,-,-,-,7
Svoj,svoj,P,F,i,s,4,-,-,1
výklad,výklad,S,S,i,s,4,-,-,2
o,o,E,u,6,-,-,-,-,3
dávnej,dávny,A,A,f,s,6,x,-,4
minulosti,minulosť,S,S,f,s,6,-,-,5
doplnila,doplniť,V,L,d,s,c,f,+,6
aj,aj,T,-,-,-,-,-,-,7
fiktívnymi,fiktívny,A,A,i,p,7,x,-,8
príbehmi,príbeh,S,S,i,p,7,-,-,9
.,.,Z,-,-,-,-,-,-,10
Na,na,E,u,6,-,-,-,-,1
hrade,hrad,S,S,i,s,6,-,-,2
sa,sa,R,-,-,-,-,-,-,3
niekoľkokrát,niekoľkokrát,P,D,-,-,-,-,-,4
usadili,usadiť,V,L,d,p,c,m,+,5
filmári,filmár,S,S,m,p,1,-,-,6
.,.,Z,-,-,-,-,-,-,7
Počas,počas,E,u,2,-,-,-,-,1
prehliadky,prehliadka,S,S,f,s,2,-,-,2
sme,byť,V,K,e,p,a,+,-,3
zdolali,zdolať,V,L,d,p,a,h,+,4
šesťstošesťdesiattri,šesťstošesťdesiattri,N,U,n,s,4,-,-,5
schodov,schod,S,S,i,p,2,-,-,6
.,.,Z,-,-,-,-,-,-,7
Po,po,E,u,6,-,-,-,-,1
takomto,takýto,P,A,i,s,6,-,-,2
tréningu,tréning,S,S,i,s,6,-,-,3
by,by,Y,-,-,-,-,-,-,4
sme,byť,V,K,e,p,a,+,-,5
mohli,môcť,V,L,e,p,a,h,+,6
ísť,ísť,V,I,e,+,-,-,-,7
aj,aj,T,-,-,-,-,-,-,8
na,na,E,u,4,-,-,-,-,9
olympiádu,olympiád,S,S,f,s,4,-,-,10
.,.,Z,-,-,-,-,-,-,11
Zážitky,zážitok,S,S,i,p,1,-,-,1
sme,byť,V,K,e,p,a,+,-,2
zapísali,zapísať,V,L,d,p,a,h,+,3
do,do,E,u,2,-,-,-,-,4
denníkov,denník,S,S,i,p,2,-,-,5
.,.,Z,-,-,-,-,-,-,6
Domov,domov,D,x,-,-,-,-,-,1
sme,byť,V,K,e,p,a,+,-,2
sa,sa,R,-,-,-,-,-,-,3
vrátili,vrátiť,V,L,d,p,a,h,+,4
spokojní,spokojný,A,A,m,p,1,x,-,5
.,.,Z,-,-,-,-,-,-,6
Potulky,potulka,S,S,i,p,1,-,-,1
prírodou,príroda,S,S,f,s,7,-,-,2
často,často,D,x,-,-,-,-,-,3
využívajú,využívať,V,K,e,p,c,+,-,4
psíčkari,psíčkar,S,S,m,p,1,-,-,5
a,a,O,-,-,-,-,-,-,6
ich,ich,P,U,i,p,1,-,-,7
malé,malý,A,A,i,p,1,x,-,8
či,či,O,-,-,-,-,-,-,9
veľké,veľký,A,A,i,p,1,x,-,10
psy,pes,S,S,i,p,1,-,-,11
.,.,Z,-,-,-,-,-,-,12
Pánmi,pán,S,S,m,p,1,-,-,1
vzduchu,vzduch,S,S,i,s,2,-,-,2
sú,byť,V,K,e,p,c,+,-,3
orly,orol,S,S,i,p,1,-,-,4
",",",",Z,-,-,-,-,-,-,5
jastraby,jastrab,S,S,f,p,1,-,-,6
alebo,alebo,O,-,-,-,-,-,-,7
sokoly,sokol,S,S,i,p,1,-,-,8
.,.,Z,-,-,-,-,-,-,9
O,o,E,u,6,-,-,-,-,1
medveďovi,medveď,S,S,m,s,6,-,-,2
však,však,T,-,-,-,-,-,-,3
sníva,snívať,V,K,e,s,c,+,-,4
asi,asi,T,-,-,-,-,-,-,5
málokto,málokto,P,F,m,s,1,-,-,6
.,.,Z,-,-,-,-,-,-,7
Les,les,J,-,-,-,-,-,-,1
a,a,O,-,-,-,-,-,-,2
príroda,príroda,S,S,f,s,1,-,-,3
ukrývajú,ukrývať,V,K,e,p,c,+,-,4
mnohé,mnohý,N,A,i,p,1,-,-,5
divy,diva,S,S,i,p,4,-,-,6
",",",",Z,-,-,-,-,-,-,7
ktoré,ktorý,P,A,i,p,1,-,-,8
sme,byť,V,K,e,p,a,+,-,9
zatiaľ,zatiaľ,P,D,-,-,-,-,-,10
neobjavili,objaviť,V,L,d,p,a,h,-,11
.,.,Z,-,-,-,-,-,-,12
V,v,E,u,6,-,-,-,-,1
mokradiach,mokrada,S,S,n,p,6,-,-,2
s,s,E,u,7,-,-,-,-,3
bohatým,bohatý,A,A,i,s,7,x,-,4
porastom,porast,S,S,i,s,7,-,-,5
vodných,vodný,A,A,f,p,2,x,-,6
rastlín,rastlina,S,S,f,p,2,-,-,7
žijú,žiť,V,K,e,p,c,+,-,8
žaby,žaby,S,S,f,p,1,-,-,9
",",",",Z,-,-,-,-,-,-,10
hrochy,hrocha,S,S,i,p,1,-,-,11
a,a,O,-,-,-,-,-,-,12
krokodíly,krokodíl,S,S,i,p,1,-,-,13
.,.,Z,-,-,-,-,-,-,14
Obyvateľmi,obyvateľ,S,S,m,p,7,-,-,1
oceánov,oceán,S,S,i,p,2,-,-,2
sú,byť,V,K,e,p,c,+,-,3
aj,aj,T,-,-,-,-,-,-,4
veľryby,veľryba,S,S,f,p,1,-,-,5
",",",",Z,-,-,-,-,-,-,6
medúzy,medúza,S,S,i,p,1,-,-,7
i,i,O,-,-,-,-,-,-,8
žraloky,žraloky,S,S,i,p,1,-,-,9
.,.,Z,-,-,-,-,-,-,10
Losy,los,S,S,i,p,1,-,-,1
a,a,O,-,-,-,-,-,-,2
soby,soba,S,S,i,p,1,-,-,3
zase,zase,D,x,-,-,-,-,-,4
obývajú,obývať,V,K,e,p,c,+,-,5
tundry,tundra,S,S,f,p,4,-,-,6
.,.,Z,-,-,-,-,-,-,7
Veľké,veľký,A,A,f,p,1,x,-,1
ťažkosti,ťažkosť,S,S,f,p,1,-,-,2
im,on,P,F,m,p,3,-,-,3
spôsobuje,spôsobovať,V,K,e,s,c,+,-,4
hmyz,hmyz,S,S,i,s,4,-,-,5
.,.,Z,-,-,-,-,-,-,6
V,v,E,u,6,-,-,-,-,1
zoologickej,zoologický,A,A,f,s,6,x,-,2
záhrade,záhrada,S,S,f,s,6,-,-,3
sme,byť,V,K,e,p,a,+,-,4
videli,vidieť,V,L,e,p,a,h,+,5
pštrosy,pštros,S,S,i,p,4,-,-,6
",",",",Z,-,-,-,-,-,-,7
levy,lev,S,S,i,p,4,-,-,8
",",",",Z,-,-,-,-,-,-,9
žirafy,žirafa,S,S,f,p,4,-,-,10
",",",",Z,-,-,-,-,-,-,11
cudzokrajné,cudzokrajný,A,A,i,p,4,x,-,12
vtáky,vták,S,S,i,p,4,-,-,13
i,i,O,-,-,-,-,-,-,14
zúrivé,zúrivý,A,A,i,p,4,x,-,15
psy,pes,S,S,i,p,4,-,-,16
.,.,Z,-,-,-,-,-,-,17
Pri,pri,E,u,6,-,-,-,-,1
ohrade,ohrad,S,S,f,s,6,-,-,2
zavýjali,zavýjať,V,L,e,p,c,m,+,3
besní,besný,A,A,m,p,1,x,-,4
psi,pes,S,S,m,p,1,-,-,5
a,a,O,-,-,-,-,-,-,6
zúriví,zúrivý,A,A,m,p,1,x,-,7
vlci,vlk,S,S,m,p,1,-,-,8
.,.,Z,-,-,-,-,-,-,9
Ráno,ráno,D,x,-,-,-,-,-,1
sa,sa,R,-,-,-,-,-,-,2
Eskimáci,eskimác,S,S,m,p,1,:,r,3
chystajú,chystať,V,K,e,p,c,+,-,4
na,na,E,u,4,-,-,-,-,5
lov,lov,S,S,i,s,4,-,-,6
mrožov,mrož,S,S,i,p,2,-,-,7
.,.,Z,-,-,-,-,-,-,8
Poľovníci,poľovník,S,S,m,p,1,-,-,1
idú,ísť,V,K,e,p,c,+,-,2
so,s,E,v,7,-,-,-,-,3
svojimi,svoj,P,F,m,p,7,-,-,4
psami,psa,S,S,i,p,7,-,-,5
.,.,Z,-,-,-,-,-,-,6
Títo,tento,P,F,m,p,1,-,-,1
psi,pes,S,S,m,p,1,-,-,2
majú,mať,V,K,e,p,c,+,-,3
často,často,D,x,-,-,-,-,-,4
do,do,E,u,2,-,-,-,-,5
krvi,krv,S,S,f,s,2,-,-,6
zodraté,zodratý,G,t,f,p,4,x,-,7
paprčky,paprčka,S,S,f,p,4,-,-,8
.,.,Z,-,-,-,-,-,-,9
Povetrím,povetriť,V,K,d,s,a,+,-,1
sa,sa,R,-,-,-,-,-,-,2
ozývajú,ozývať,V,K,e,p,c,+,-,3
radostné,radostný,A,A,i,p,1,x,-,4
výkriky,výkrik,S,S,i,p,1,-,-,5
lovcov,lovec,S,S,m,p,2,-,-,6
.,.,Z,-,-,-,-,-,-,7
Umiestňovanie,umiestňovanie,S,S,n,s,1,-,-,1
reklám,reklo,S,S,f,p,2,-,-,2
na,na,E,u,4,-,-,-,-,3
mantinely,mantinel,S,S,f,p,4,-,-,4
zimných,zimný,A,A,i,p,2,x,-,5
štadiónov,štadión,S,S,i,p,2,-,-,6
je,byť,V,K,e,s,c,+,-,7
dobrým,dobrý,A,A,i,s,7,x,-,8
marketingovým,marketingový,A,A,i,s,7,x,-,9
ťahom,ťah,S,S,i,s,7,-,-,10
.,.,Z,-,-,-,-,-,-,11
Na,na,E,u,6,-,-,-,-,1
mantineli,mantineľ,S,S,f,s,6,-,-,2
vpravo,vpravo,D,x,-,-,-,-,-,3
dominovalo,dominovať,V,L,e,s,c,n,+,4
logo,logo,S,S,n,s,1,-,-,5
známej,známy,A,A,f,s,2,x,-,6
automobilky,automobilky,S,S,f,s,2,-,-,7
.,.,Z,-,-,-,-,-,-,8
V,v,E,u,6,-,-,-,-,1
decembri,december,S,S,i,s,6,-,-,2
na,na,E,u,6,-,-,-,-,3
svetovom,svetový,A,A,i,s,6,x,-,4
šampionáte,šampionát,S,S,i,s,6,-,-,5
v,v,E,u,6,-,-,-,-,6
krasokorčuľovaní,krasokorčuľovanie,S,S,n,s,6,-,-,7
malo,mať,V,L,e,s,c,n,+,8
aj,aj,T,-,-,-,-,-,-,9
Slovensko,slovensko,S,S,n,s,4,:,r,10
v,v,E,u,6,-,-,-,-,11
medzinárodnej,medzinárodný,A,A,f,s,6,x,-,12
skupine,skupina,S,S,f,s,6,-,-,13
svojho,svoj,P,F,m,s,2,-,-,14
zástupcu,zástupca,S,S,m,s,2,-,-,15
.,.,Z,-,-,-,-,-,-,16
Zahraniční,zahraničný,A,A,m,p,1,x,-,1
pretekári,pretekár,S,S,m,p,1,-,-,2
",",",",Z,-,-,-,-,-,-,3
tréneri,tréner,S,S,m,p,1,-,-,4
aj,aj,T,-,-,-,-,-,-,5
novinári,novinár,S,S,m,p,1,-,-,6
boli,byť,V,L,e,p,c,m,+,7
ubytovaní,ubytovaný,G,t,m,p,1,x,-,8
v,v,E,u,6,-,-,-,-,9
novom,nový,A,A,i,s,6,x,-,10
hoteli,hotel,S,S,i,s,6,-,-,11
.,.,Z,-,-,-,-,-,-,12
Od,od,E,u,2,-,-,-,-,1
domova,domov,S,S,i,s,2,-,-,2
ich,on,P,F,m,p,4,-,-,3
delili,deliť,V,L,e,p,c,i,+,4
kilometre,kilometer,S,S,i,p,1,-,-,5
.,.,Z,-,-,-,-,-,-,6
V,v,E,u,6,-,-,-,-,1
areáli,areál,S,S,i,s,6,-,-,2
hotela,hotel,S,S,i,s,2,-,-,3
sa,sa,R,-,-,-,-,-,-,4
poskytovali,poskytovať,V,L,e,p,c,f,+,5
rôzne,rôzny,A,A,f,p,1,x,-,6
služby,služba,S,S,f,p,1,-,-,7
",",",",Z,-,-,-,-,-,-,8
ktoré,ktorý,P,A,f,p,1,-,-,9
hostia,hosť,S,S,m,p,1,-,-,10
radi,rád,A,A,m,p,1,x,-,11
využívali,využívať,V,L,e,p,c,m,+,12
.,.,Z,-,-,-,-,-,-,13
V,v,E,u,6,-,-,-,-,1
kinosále,kinosál,S,S,f,s,6,-,-,2
bol,byť,V,L,e,s,c,i,+,3
najväčší,veľký,A,A,i,s,1,y,-,4
záujem,záujem,S,S,i,s,1,-,-,5
o,o,E,u,4,-,-,-,-,6
trilery,triler,S,S,i,p,4,-,-,7
",",",",Z,-,-,-,-,-,-,8
iné,iný,P,A,i,p,1,-,-,9
filmové,filmový,A,A,i,p,1,x,-,10
žánre,žánien,S,S,i,p,1,-,-,11
sa,sa,R,-,-,-,-,-,-,12
netešili,tešiť,V,L,e,p,c,i,-,13
veľkej,veľký,A,A,f,s,3,x,-,14
obľube,obľub,S,S,f,s,3,-,-,15
.,.,Z,-,-,-,-,-,-,16
V,v,E,u,6,-,-,-,-,1
posilňovniach,posilňovna,S,S,f,p,6,-,-,2
sa,sa,R,-,-,-,-,-,-,3
využívali,využívať,V,L,e,p,c,f,+,4
najmä,najmä,T,-,-,-,-,-,-,5
stacionárne,stacionárny,A,A,i,p,1,x,-,6
bicykle,bicykel,S,S,i,p,1,-,-,7
.,.,Z,-,-,-,-,-,-,8
Luxusnú,luxusný,A,A,f,s,4,x,-,1
kaviareň,kaviareň,S,S,f,s,4,-,-,2
osvetľovali,osvetľovať,V,L,e,p,c,i,+,3
moderné,moderný,A,A,i,p,1,x,-,4
lustre,lustra,S,S,i,p,1,-,-,5
a,a,O,-,-,-,-,-,-,6
príjemnú,príjemný,A,A,f,s,4,x,-,7
atmosféru,atmosféra,S,S,f,s,4,-,-,8
dotvárala,dotvárať,V,L,e,s,c,f,+,9
tichá,tichý,A,A,f,s,1,x,-,10
hudba,hudba,S,S,f,s,1,-,-,11
hraná,hraný,A,A,f,s,1,x,-,12
na,na,E,u,6,-,-,-,-,13
klavíri,klavír,S,S,i,s,6,-,-,14
.,.,Z,-,-,-,-,-,-,15
V,v,E,u,6,-,-,-,-,1
závere,záver,S,S,i,s,6,-,-,2
pretekov,preteky,S,S,i,p,2,-,-,3
bolo,byť,V,L,e,s,c,n,+,4
stretnutie,stretnutie,S,S,n,s,1,-,-,5
najlepších,dobrý,A,A,m,p,2,z,-,6
skokanov,skokan,S,S,m,p,2,-,-,7
.,.,Z,-,-,-,-,-,-,8
Slovenskí,slovenský,A,A,m,p,1,x,-,1
krasokorčuliari,krasokorčuliar,S,S,m,p,1,-,-,2
medaily,medaila,S,S,f,p,2,-,-,3
síce,síce,O,-,-,-,-,-,-,4
nezískali,získať,V,L,d,p,c,m,-,5
",",",",Z,-,-,-,-,-,-,6
no,no,O,-,-,-,-,-,-,7
nemožno,nemožno,D,x,-,-,-,-,-,8
hovoriť,hovoriť,V,I,e,+,-,-,-,9
ani,ani,O,-,-,-,-,-,-,10
o,o,E,u,6,-,-,-,-,11
ich,on,P,F,m,p,4,-,-,12
debakli,debaklo,S,S,m,p,6,-,-,13
.,.,Z,-,-,-,-,-,-,14
Klíma,klíma,S,S,f,s,1,-,-,1
na,na,E,u,6,-,-,-,-,2
našej,náš,P,F,f,s,6,-,-,3
Zemi,zem,S,S,f,s,3,-,-,1
sa,sa,R,-,-,-,-,-,-,2
neustále,neustále,D,x,-,-,-,-,-,3
mení,meniť,V,K,e,s,c,+,-,4
a,a,O,-,-,-,-,-,-,5
vyvíja,vyvíjať,V,K,e,s,c,+,-,6
.,.,Z,-,-,-,-,-,-,7
Na,na,E,u,4,-,-,-,-,1
klimatický,klimatický,A,A,i,s,4,x,-,2
systém,systém,S,S,i,s,4,-,-,3
vplývajú,vplývať,V,K,e,p,c,+,-,4
prírodné,prírodný,A,A,i,p,1,x,-,5
procesy,proces,S,S,i,p,1,-,-,6
a,a,O,-,-,-,-,-,-,7
rôzne,rôzny,A,A,i,p,1,x,-,8
faktory,faktor,S,S,i,p,1,-,-,9
.,.,Z,-,-,-,-,-,-,10
V,v,E,u,6,-,-,-,-,1
posledných,posledný,A,A,n,p,6,x,-,2
storočiach,storočie,S,S,n,p,6,-,-,3
sa,sa,R,-,-,-,-,-,-,4
k,k,E,u,3,-,-,-,-,5
týmto,táto,P,F,i,p,3,-,-,6
procesom,proces,S,S,i,p,3,-,-,7
pridáva,pridávať,V,K,e,s,c,+,-,8
aj,aj,T,-,-,-,-,-,-,9
samotný,samotný,A,A,m,s,1,x,-,10
človek,človek,S,S,m,s,1,-,-,11
svojou,svoj,P,F,f,s,7,-,-,12
činnosťou,činnosť,S,S,f,s,7,-,-,13
.,.,Z,-,-,-,-,-,-,14
Zvyšuje,zvyšovať,V,K,e,s,c,+,-,1
koncentráciu,koncentrácia,S,S,f,s,4,-,-,2
radiačne,radiačny,A,A,i,s,2,x,-,3
aktívnych,aktívny,A,A,i,p,2,x,-,4
plynov,plyn,S,S,i,p,2,-,-,5
atmosféry,atmosféra,S,S,f,s,2,-,-,6
",",",",Z,-,-,-,-,-,-,7
a,a,O,-,-,-,-,-,-,8
tým,to,P,F,n,s,3,-,-,9
prispieva,prispievať,V,K,e,s,c,+,-,10
k,k,E,u,3,-,-,-,-,11
zosilňovaniu,zosilňovanie,S,S,n,s,3,-,-,12
skleníkového,skleníkový,A,A,i,s,2,x,-,13
efektu,efekt,S,S,i,s,2,-,-,14
.,.,Z,-,-,-,-,-,-,15
Kroniky,kronika,S,S,f,p,1,-,-,1
obsahujú,obsahovať,V,K,e,p,c,+,-,2
záznamy,záznam,S,S,i,p,4,-,-,3
o,o,E,u,6,-,-,-,-,4
mimoriadnych,mimoriadny,A,A,i,p,6,x,-,5
javoch,jav,S,S,i,p,6,-,-,6
počasia,počasie,S,S,n,s,2,-,-,7
a,a,O,-,-,-,-,-,-,8
klímy,klíma,S,S,f,s,2,-,-,9
",",",",Z,-,-,-,-,-,-,10
o,o,E,u,6,-,-,-,-,11
stave,stav,S,S,i,s,6,-,-,12
riek,rieka,S,S,f,p,2,-,-,13
a,a,O,-,-,-,-,-,-,14
úrody,úroda,S,S,f,s,2,-,-,15
.,.,Z,-,-,-,-,-,-,16
V,v,E,u,6,-,-,-,-,1
stredoveku,stredovek,S,S,i,s,6,-,-,2
sa,sa,R,-,-,-,-,-,-,3
z,z,E,u,2,-,-,-,-,4
písomných,písomný,A,A,i,p,2,x,-,5
historických,historický,A,A,i,p,2,x,-,6
prameňov,prameň,S,S,i,p,2,-,-,7
o,o,E,u,6,-,-,-,-,8
počasí,počas,S,S,n,s,6,-,-,9
dozvieme,dozvedieť,V,K,d,p,a,+,-,10
iba,iba,T,-,-,-,-,-,-,11
málo,málo,D,x,-,-,-,-,-,12
.,.,Z,-,-,-,-,-,-,13
Ich,ich,P,U,i,s,1,-,-,1
počet,počet,S,S,i,s,1,-,-,2
vzrástol,vzrásť,V,L,d,s,c,i,+,3
až,až,T,-,-,-,-,-,-,4
v,v,E,u,6,-,-,-,-,5
16,16,0,-,-,-,-,-,-,6
.,.,Z,-,-,-,-,-,-,7
(,(,Z,-,-,-,-,-,-,8
šestnástom,šestnásty,N,A,n,s,6,-,-,9
),),Z,-,-,-,-,-,-,10
storočí,storočie,S,S,n,s,6,-,-,11
.,.,Z,-,-,-,-,-,-,12
Zásluhu,zásluh,S,S,f,s,4,-,-,1
na,na,E,u,6,-,-,-,-,2
tom,to,P,F,n,s,6,-,-,3
majú,mať,V,K,e,p,c,+,-,4
hlavne,hlavne,D,x,-,-,-,-,-,5
mnísi,mnís,S,S,m,p,1,-,-,6
",",",",Z,-,-,-,-,-,-,7
učitelia,učiteľ,S,S,m,p,1,-,-,8
a,a,O,-,-,-,-,-,-,9
mestskí,mestský,A,A,m,p,1,x,-,10
kronikári,kronikár,S,S,m,p,1,-,-,11
.,.,Z,-,-,-,-,-,-,12
Na,na,E,u,6,-,-,-,-,1
niektorých,niektorý,P,A,n,p,6,-,-,2
miestach,miesto,S,S,n,p,6,-,-,3
Sahary,sahara,S,S,f,s,2,-,-,4
sa,sa,R,-,-,-,-,-,-,5
zachovali,zachovať,V,L,d,p,c,f,+,6
jaskynné,jaskynný,A,A,f,p,1,x,-,7
maľby,maľba,S,S,f,p,1,-,-,8
",",",",Z,-,-,-,-,-,-,9
na,na,E,u,6,-,-,-,-,10
ktorých,ktorý,P,A,f,p,6,-,-,11
sú,byť,V,K,e,p,c,+,-,12
zachytené,zachytený,G,t,i,p,1,x,-,13
levy,lev,S,S,i,p,1,-,-,14
",",",",Z,-,-,-,-,-,-,15
slony,slon,S,S,i,p,1,-,-,16
",",",",Z,-,-,-,-,-,-,17
byvoly,byvola,S,S,i,p,1,-,-,18
",",",",Z,-,-,-,-,-,-,19
stromy,strom,S,S,i,p,1,-,-,20
a,a,O,-,-,-,-,-,-,21
tráva,tráva,S,S,f,s,1,-,-,22
.,.,Z,-,-,-,-,-,-,23
Od,od,E,u,2,-,-,-,-,1
17,17,0,-,-,-,-,-,-,2
.,.,Z,-,-,-,-,-,-,3
(,(,Z,-,-,-,-,-,-,4
sedemnásteho,sedemnásty,A,A,n,s,2,x,-,5
),),Z,-,-,-,-,-,-,6
storočia,storočie,S,S,n,s,2,-,-,7
sa,sa,R,-,-,-,-,-,-,8
vo,v,E,v,6,-,-,-,-,9
svete,svet,S,S,i,s,6,-,-,10
začínajú,začínať,V,K,e,p,c,+,-,11
vykonávať,vykonávať,V,I,e,+,-,-,-,12
plánovité,plánovitý,A,A,n,p,1,x,-,13
pozorovania,pozorovanie,S,S,n,p,1,-,-,14
pomocou,pomocou,E,u,2,-,-,-,-,15
prístrojov,prístroj,S,S,i,p,2,-,-,16
.,.,Z,-,-,-,-,-,-,17
Klimatológovia,klimatológ,S,S,m,p,1,-,-,1
dokážu,dokázať,V,K,d,p,c,+,-,2
v,v,E,u,6,-,-,-,-,3
súčasnosti,súčasnosť,S,S,f,s,6,-,-,4
